 kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg
-1.0,748.0,213.51,4800.0,843300.0,429322.222222,1973.86666667,7249.93197626,3900.35066467
217.0,434.0,309.75,2500.0,69100.0,39575.0,1094.55555556,2657.45892351,2066.18372102
-1.0,1300.0,273.7725,0.0,843300.0,317450.0,0.0,164725.0,18698.4604455
4.0,3600.0,744.888888889,0.0,843300.0,161940.0,0.0,3753.37925814,2651.78348243
4.0,438.0,180.0,0.0,843300.0,149757.142857,0.0,3838.16902834,2552.30750187
-1.0,580.0,140.0,9700.0,843300.0,362040.0,2536.35714286,4008.17992832,3249.60650699
4.0,1700.0,651.125,2100.0,617900.0,252262.5,1900.0,8121.22222222,3890.83210189
4.0,82.0,50.8,0.0,843300.0,175800.0,0.0,3263.88975913,1791.62713164
4.0,1100.0,292.166666667,2400.0,690400.0,242666.666667,1875.0,4931.69007092,3663.60380098
4.0,745.0,236.4,0.0,690400.0,144916.666667,0.0,5010.5,2507.7613582
-1.0,1500.0,488.6,0.0,843300.0,282966.666667,0.0,4061.9047619,3081.40351752
-1.0,330.0,131.4,0.0,843300.0,465600.0,0.0,8373.32782369,4684.47813891
217.0,972.0,391.285714286,0.0,69100.0,34541.3333333,0.0,3213.56828194,1882.93833012
4.0,795.0,201.75,0.0,690400.0,240316.666667,0.0,11090.6666667,3919.6222795
4.0,574.0,188.777777778,1500.0,843300.0,244688.888889,822.0625,3286.70569042,1869.21166947
4.0,731.0,344.166666667,0.0,617900.0,278114.285714,0.0,4861.75879397,2895.99180562
-1.0,677.0,282.0,7400.0,843300.0,227533.333333,1583.16666667,8344.0,3769.29803996
-1.0,523.0,203.0,0.0,843300.0,150757.142857,0.0,3573.19240759,1848.72224884
217.0,2000.0,742.0,2000.0,51900.0,21928.5714286,2000.0,3343.11458333,2630.96893489
4.0,451.0,108.25,0.0,843300.0,460755.555556,0.0,7474.94117647,4215.4768855
-1.0,1100.0,291.2,5700.0,843300.0,331460.0,2205.69433878,4181.84153005,3075.83761608
4.0,4500.0,1148.0,7100.0,690400.0,483325.0,3253.51057333,5800.0,4622.4592874
4.0,793.0,408.5,2000.0,617900.0,222433.333333,1307.09090909,7424.5,3288.99723839
4.0,831.0,313.5,2700.0,843300.0,382466.666667,1241.2,4349.76264591,3059.40904644
-1.0,0.0,-1.0,210300.0,843300.0,498200.0,2861.14318707,3512.79221095,3161.72301847
-1.0,1400.0,349.666666667,0.0,843300.0,248577.777778,0.0,3530.02113423,1701.62601835
-1.0,325.0,80.5,0.0,843300.0,202500.0,0.0,3483.8067974,1820.28355579
-1.0,2000.0,357.0,0.0,843300.0,256275.0,0.0,4446.76598639,3172.66370043
-1.0,504.0,196.714285714,1100.0,843300.0,241585.714286,642.5,7494.744,4138.93675134
